GEO.id,GEO.id2,GEO.display-label,HD01_VD01
Id,Id2,Geography,Estimate; Aggregate travel time to work (in minutes):
310M300US38220,38220,"Pine Bluff, AR Metro Area",711905
310M300US38300,38300,"Pittsburgh, PA Metro Area",28850370
310M300US38340,38340,"Pittsfield, MA Metro Area",1183185
310M300US38540,38540,"Pocatello, ID Metro Area",608755
310M300US38860,38860,"Portland-South Portland, ME Metro Area",6412030
310M300US38900,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",28983545
310M300US38940,38940,"Port St. Lucie, FL Metro Area",4672905
310M300US39140,39140,"Prescott, AZ Metro Area",1758825
310M300US39300,39300,"Providence-Warwick, RI-MA Metro Area",19540180
310M300US39340,39340,"Provo-Orem, UT Metro Area",5141680
310M300US39380,39380,"Pueblo, CO Metro Area",1371545
310M300US39460,39460,"Punta Gorda, FL Metro Area",1306290
310M300US39540,39540,"Racine, WI Metro Area",2151390
310M300US39580,39580,"Raleigh, NC Metro Area",15297695
310M300US39660,39660,"Rapid City, SD Metro Area",1271805
310M300US39740,39740,"Reading, PA Metro Area",4709850
310M300US39820,39820,"Redding, CA Metro Area",1321860
310M300US39900,39900,"Reno, NV Metro Area",4459145
310M300US40060,40060,"Richmond, VA Metro Area",14974145
310M300US40140,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",55167455
310M300US40220,40220,"Roanoke, VA Metro Area",3348265
310M300US40340,40340,"Rochester, MN Metro Area",2091690
310M300US40380,40380,"Rochester, NY Metro Area",10471600
310M300US40420,40420,"Rockford, IL Metro Area",3422470
310M300US40580,40580,"Rocky Mount, NC Metro Area",1325350
310M300US40660,40660,"Rome, GA Metro Area",866780
310M300US40900,40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",24883500
310M300US40980,40980,"Saginaw, MI Metro Area",1694280
310M300US41060,41060,"St. Cloud, MN Metro Area",2045585
310M300US41100,41100,"St. George, UT Metro Area",1052275
310M300US41140,41140,"St. Joseph, MO-KS Metro Area",1055495
310M300US41180,41180,"St. Louis, MO-IL Metro Area",33139425
310M300US41420,41420,"Salem, OR Metro Area",3946945
310M300US41500,41500,"Salinas, CA Metro Area",3965735
310M300US41540,41540,"Salisbury, MD-DE Metro Area",3945730
310M300US41620,41620,"Salt Lake City, UT Metro Area",12358905
310M300US41660,41660,"San Angelo, TX Metro Area",969390
310M300US41700,41700,"San Antonio-New Braunfels, TX Metro Area",27003860
310M300US41740,41740,"San Diego-Carlsbad, CA Metro Area",37660965
310M300US41860,41860,"San Francisco-Oakland-Hayward, CA Metro Area",70482675
310M300US41940,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",25842365
310M300US42020,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",2607670
310M300US42100,42100,"Santa Cruz-Watsonville, CA Metro Area",3233175
310M300US42140,42140,"Santa Fe, NM Metro Area",1416055
310M300US42200,42200,"Santa Maria-Santa Barbara, CA Metro Area",3799185
310M300US42220,42220,"Santa Rosa, CA Metro Area",5700925
310M300US42340,42340,"Savannah, GA Metro Area",4042740
310M300US42540,42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",5345195
310M300US42660,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",53709460
310M300US42680,42680,"Sebastian-Vero Beach, FL Metro Area",1135185
310M300US42700,42700,"Sebring, FL Metro Area",608720
310M300US43100,43100,"Sheboygan, WI Metro Area",1027645
310M300US43300,43300,"Sherman-Denison, TX Metro Area",1312765
